Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Description,20170831_UDMSE_CONTROL_R001,20170831_UDMSE_CONTROL_R002,20170831_UDMSE_CONTROL_R003,20170831_UDMSE_INFECTED_R001,20170831_UDMSE_INFECTED_R002,20170831_UDMSE_INFECTED_R003,20170831_UDMSE_CONTROL_raw_R001,20170831_UDMSE_CONTROL_raw_R002,20170831_UDMSE_CONTROL_raw_R003,20170831_UDMSE_INFECTED__raw_R001,20170831_UDMSE_INFECTED_raw_R002,20170831_UDMSE_INFECTED_raw_003
A0A0D9S6P2,10,6,48.4136,1.77E-06,2.28E-05,1.895152467,1,C,I,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Chlorocebus sabaeus GN=DPYD PE=3 SV=1,32702.03833,32872.80205,33299.23701,17812.91479,16975.07673,17384.10498,32702.03833,32872.80205,33299.23701,17812.91479,16975.07673,17384.10498
A0A0D9RQN4,4,3,15.2428,1.81E-06,2.28E-05,2.730049417,1,I,C,Sterile alpha motif domain containing 4A OS=Chlorocebus sabaeus GN=SAMD4A PE=4 SV=1,2098.454724,2145.534221,2107.881642,5690.335685,6039.377114,5611.207792,2098.454724,2145.534221,2107.881642,5690.335685,6039.377114,5611.207792
REVERSE9708,2,1,10.5273,2.01E-06,2.28E-05,1.552648345,1,C,I,Reversed Sequence 9708,11704.39622,11971.37793,11787.06287,7689.886827,7660.683834,7489.654009,11704.39622,11971.37793,11787.06287,7689.886827,7660.683834,7489.654009
A0A0D9S411,11,7,73.8223,2.01E-06,2.28E-05,2.84237352,1,I,C,Interferon gamma inducible protein 16 OS=Chlorocebus sabaeus GN=IFI16 PE=4 SV=1,15199.94336,14724.09982,13949.40129,41743.62401,41572.11065,41388.98213,15199.94336,14724.09982,13949.40129,41743.62401,41572.11065,41388.98213
A0A0D9RVJ2,7,6,61.2774,2.49E-06,2.66E-05,1.895566468,1,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,85492.93244,87420.88376,88873.75376,47070.78725,45795.63441,45238.76979,85492.93244,87420.88376,88873.75376,47070.78725,45795.63441,45238.76979
A0A0D9RV44,7,3,37.3543,2.7E-06,2.72E-05,2.502717643,1,C,I,Helicase with zinc finger 2 OS=Chlorocebus sabaeus GN=HELZ2 PE=4 SV=1,33220.39931,34667.40065,35943.56097,14004.18847,13804.39601,13678.86067,33220.39931,34667.40065,35943.56097,14004.18847,13804.39601,13678.86067
A0A0D9S8Z8,4,4,45.6341,3.02E-06,2.72E-05,3.552778472,1,I,C,ISG15 ubiquitin-like modifier OS=Chlorocebus sabaeus GN=ISG15 PE=4 SV=1,17904.31925,16323.53931,17759.44514,60051.92132,63496.76459,61150.6875,17904.31925,16323.53931,17759.44514,60051.92132,63496.76459,61150.6875
REVERSE675,3,1,19.0036,3.08E-06,2.72E-05,2.621681252,1,C,I,Reversed Sequence 675,10775.7329,11497.81383,11700.6275,4371.577893,4306.572796,4280.775648,10775.7329,11497.81383,11700.6275,4371.577893,4306.572796,4280.775648
A0A0D9RM50,7,1,55.7605,3.18E-06,2.72E-05,4.472976674,1,C,I,Acidic nuclear phosphoprotein 32 family member A OS=Chlorocebus sabaeus GN=ANP32A PE=4 SV=1,20374.28139,21956.83809,21972.38357,4907.796625,4973.671391,4494.529833,20374.28139,21956.83809,21972.38357,4907.796625,4973.671391,4494.529833
A0A0D9RDT9,4,1,42.8687,3.25E-06,2.72E-05,1.566158145,1,C,I,Ribosomal protein lateral stalk subunit P2 OS=Chlorocebus sabaeus GN=RPLP2 PE=3 SV=1,42077.54936,40554.30925,40642.76602,26194.81694,26154.88863,26361.77387,42077.54936,40554.30925,40642.76602,26194.81694,26154.88863,26361.77387
A0A0D9SBM5,3,2,19.5821,3.44E-06,2.76E-05,2.25912158,1,C,I,Small nuclear ribonucleoprotein polypeptide E OS=Chlorocebus sabaeus GN=SNRPE PE=4 SV=1,9259.89742,9121.685906,9609.685051,4028.369429,4257.777491,4104.185952,9259.89742,9121.685906,9609.685051,4028.369429,4257.777491,4104.185952
A0A0D9RXL9,15,10,105.5477,3.84E-06,2.96E-05,1.228234555,1,I,C,Chaperonin containing TCP1 subunit 5 OS=Chlorocebus sabaeus GN=CCT5 PE=3 SV=1,70918.3405,72176.30459,71628.33266,87454.1467,88308.08312,87967.95113,70918.3405,72176.30459,71628.33266,87454.1467,88308.08312,87967.95113
REVERSE14456,4,3,24.4553,4.23E-06,3.09E-05,1.713215318,1,C,I,Reversed Sequence 14456,20110.09707,19807.54886,20296.18917,11748.08378,11418.95688,11979.64199,20110.09707,19807.54886,20296.18917,11748.08378,11418.95688,11979.64199
A0A0D9RU88,7,5,39.596,4.36E-06,3.09E-05,2.5036836,1,I,C,N-myc and STAT interactor OS=Chlorocebus sabaeus GN=NMI PE=4 SV=1,14544.78443,14412.97211,13880.28741,37356.64654,34670.38405,35225.87749,14544.78443,14412.97211,13880.28741,37356.64654,34670.38405,35225.87749
REVERSE15993,2,2,13.9041,4.49E-06,3.09E-05,12.9499753,1,C,I,Reversed Sequence 15993,213344.9009,230548.3198,244082.4847,20062.95871,16637.88718,16424.79254,213344.9009,230548.3198,244082.4847,20062.95871,16637.88718,16424.79254
A0A0D9S7K7,12,8,82.0515,4.7E-06,3.12E-05,1.271614407,1,I,C,Y-box binding protein 1 OS=Chlorocebus sabaeus GN=YBX1 PE=4 SV=1,119968.583,118105.6395,119535.2759,153066.9499,151415.8684,150258.5718,119968.583,118105.6395,119535.2759,153066.9499,151415.8684,150258.5718
A0A0D9SCB4,14,12,169.1096,4.97E-06,3.19E-05,1.584156448,1,C,I,Brain abundant membrane attached signal protein 1 OS=Chlorocebus sabaeus GN=BASP1 PE=4 SV=1,558787.8037,563833.0692,571861.7856,362156.7937,348061.5887,359425.1248,558787.8037,563833.0692,571861.7856,362156.7937,348061.5887,359425.1248
REVERSE2938,3,2,23.1245,5.67E-06,3.3E-05,1.937776415,1,C,I,Reversed Sequence 2938,16152.76667,15189.7014,15341.56635,8099.629993,8088.712883,7903.205587,16152.76667,15189.7014,15341.56635,8099.629993,8088.712883,7903.205587
A0A0D9R2M0,9,8,104.4842,5.99E-06,3.3E-05,1.438641065,1,C,I,Peroxiredoxin 2 OS=Chlorocebus sabaeus GN=PRDX2 PE=4 SV=1,115683.0097,113809.8353,116580.5761,81527.85135,79022.10058,80005.82626,115683.0097,113809.8353,116580.5761,81527.85135,79022.10058,80005.82626
A0A0D9R2I6,6,4,40.9026,6.03E-06,3.3E-05,1.646242196,1,C,I,Asparaginase like 1 OS=Chlorocebus sabaeus GN=ASRGL1 PE=4 SV=1,24769.27475,24644.7594,24263.18179,14840.14921,14586.25482,15328.3812,24769.27475,24644.7594,24263.18179,14840.14921,14586.25482,15328.3812
A0A0D9SAL1;A0A0D9SD52;A0A0D9SDD7,3,2,25.8415,6.06E-06,3.3E-05,2.796368887,1,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,8682.890758,9698.38733,9003.874684,25630.688,25381.28378,25567.01739,8682.890758,9698.38733,9003.874684,25630.688,25381.28378,25567.01739
A0A0D9QYJ1,5,4,52.8049,6.15E-06,3.3E-05,1.3514869,1,C,I,Serine and arginine rich splicing factor 2 OS=Chlorocebus sabaeus GN=SRSF2 PE=4 SV=1,41371.42694,41112.78664,40780.80217,30278.19532,30020.40871,30908.35906,41371.42694,41112.78664,40780.80217,30278.19532,30020.40871,30908.35906
A0A0D9RKJ8,3,1,21.3171,6.46E-06,3.3E-05,1.43252382,1,C,I,Paraoxonase 2 OS=Chlorocebus sabaeus GN=PON2 PE=4 SV=1,191782.5471,197760.7587,197942.1746,135432.701,136808.6137,137863.8941,191782.5471,197760.7587,197942.1746,135432.701,136808.6137,137863.8941
A0A0D9RZW6,14,11,179.1132,6.51E-06,3.3E-05,1.443253238,1,C,I,Heat shock protein family B (small) member 1 OS=Chlorocebus sabaeus GN=HSPB1 PE=3 SV=1,629818.0386,634283.5435,650977.7611,443250.1931,437085.4401,446582.8126,629818.0386,634283.5435,650977.7611,443250.1931,437085.4401,446582.8126
A0A0D9RSN1,7,5,46.6048,6.51E-06,3.3E-05,1.284596567,1,C,I,Ubiquinol-cytochrome c reductase core protein I OS=Chlorocebus sabaeus GN=UQCRC1 PE=4 SV=1,38131.71703,37974.33029,38875.61686,29736.67318,29717.56712,30053.75556,38131.71703,37974.33029,38875.61686,29736.67318,29717.56712,30053.75556
A0A0D9RBT5,14,7,84.0812,6.98E-06,3.45E-05,1.685755354,1,C,I,UHRF1 binding protein 1 OS=Chlorocebus sabaeus GN=UHRF1BP1 PE=4 SV=1,208207.5697,213556.188,216587.7466,124346.5441,124884.8732,129442.453,208207.5697,213556.188,216587.7466,124346.5441,124884.8732,129442.453
REVERSE15326,8,3,47.4175,7.29E-06,3.51E-05,1.779445729,1,C,I,Reversed Sequence 15326,63369.89956,62517.14462,64959.79767,34668.47982,36097.90873,36484.33494,63369.89956,62517.14462,64959.79767,34668.47982,36097.90873,36484.33494
A0A0D9RT26,8,6,65.0123,7.52E-06,3.53E-05,2.300968781,1,C,I,Myristoylated alanine rich protein kinase C substrate OS=Chlorocebus sabaeus GN=MARCKS PE=4 SV=1,72375.17412,68616.23097,73526.45417,30525.92814,30466.03067,32237.40657,72375.17412,68616.23097,73526.45417,30525.92814,30466.03067,32237.40657
REVERSE16756,7,3,42.6428,7.82E-06,3.56E-05,1.426429606,1,C,I,Reversed Sequence 16756,94792.29345,97380.65773,97080.13199,68742.82069,66938.4803,67099.88219,94792.29345,97380.65773,97080.13199,68742.82069,66938.4803,67099.88219
A0A0D9RHV9,20,9,270.8758,8.18E-06,3.56E-05,1.174413713,1,C,I,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta OS=Chlorocebus sabaeus GN=YWHAZ PE=3 SV=1,476649.3883,485166.3157,483010.9951,410263.1584,410987.1754,409003.2672,476649.3883,485166.3157,483010.9951,410263.1584,410987.1754,409003.2672
A0A0D9RF55,4,3,32.814,8.27E-06,3.56E-05,1.883666067,1,I,C,Cystatin OS=Chlorocebus sabaeus GN=CST3 PE=3 SV=1,14403.76288,15086.20894,14634.94251,28597.91255,26991.7277,27526.96356,14403.76288,15086.20894,14634.94251,28597.91255,26991.7277,27526.96356
A0A0D9REC9;A0A0D9R2U2,34,13,388.2368,8.33E-06,3.56E-05,1.527574075,1,C,I,Phosphoglycerate kinase OS=Chlorocebus sabaeus GN=PGK1 PE=3 SV=1,318629.1622,316307.8061,329222.1041,213641.9213,209222.1137,208306.059,318629.1622,316307.8061,329222.1041,213641.9213,209222.1137,208306.059
A0A0D9R4I1,9,2,74.3256,8.51E-06,3.56E-05,1.345817495,1,C,I,Fructose-bisphosphate aldolase OS=Chlorocebus sabaeus GN=ALDOC PE=3 SV=1,88098.05713,87616.49507,86555.68458,64293.3522,64475.927,66108.73199,88098.05713,87616.49507,86555.68458,64293.3522,64475.927,66108.73199
A0A0D9SCL3;A0A0D9SCL1;A0A0D9SCL7;A0A0D9SCL6;A0A0D9SCM1,6,5,75.5853,8.89E-06,3.64E-05,1.511146982,1,C,I,Histone cluster 1 H1 family member e OS=Chlorocebus sabaeus GN=HIST1H1E PE=3 SV=1,95051.46652,97511.32896,96162.50258,64607.15948,62125.51173,64331.00519,95051.46652,97511.32896,96162.50258,64607.15948,62125.51173,64331.00519
A0A0D9RA05,3,2,20.0875,9.17E-06,3.64E-05,2.391291705,1,I,C,Transcobalamin 2 OS=Chlorocebus sabaeus GN=TCN2 PE=4 SV=1,2551.848604,2548.836912,2387.413717,5717.631261,6066.185787,6122.412533,2551.848604,2548.836912,2387.413717,5717.631261,6066.185787,6122.412533
A0A0D9RS19,5,3,34.778,9.31E-06,3.64E-05,2.041430018,1,C,I,Sepiapterin reductase (7_8-dihydrobiopterin:NADP+ oxidoreductase) OS=Chlorocebus sabaeus GN=SPR PE=4 SV=1,7420.182368,7132.384178,6893.614335,3543.497613,3407.639337,3554.332591,7420.182368,7132.384178,6893.614335,3543.497613,3407.639337,3554.332591
A0A0D9SA92,5,1,58.4488,9.44E-06,3.64E-05,4.086082052,1,C,I,Histone H2A OS=Chlorocebus sabaeus GN=HIST2H2AB PE=3 SV=1,4326.805258,3941.111806,4077.590657,1047.008626,924.580125,1049.767052,4326.805258,3941.111806,4077.590657,1047.008626,924.580125,1049.767052
A0A0D9RCP4,11,7,103.4843,1.02E-05,3.84E-05,1.379618091,1,I,C,Prohibitin 2 OS=Chlorocebus sabaeus GN=PHB2 PE=4 SV=1,53105.43936,51725.75536,51340.11028,72214.86395,72211.15108,71030.74258,53105.43936,51725.75536,51340.11028,72214.86395,72211.15108,71030.74258
REVERSE3358,5,3,26.5626,1.12E-05,3.88E-05,1.368640993,1,C,I,Reversed Sequence 3358,127313.1914,123284.11,127545.455,92351.2983,91438.39217,92500.99372,127313.1914,123284.11,127545.455,92351.2983,91438.39217,92500.99372
A0A0D9RKT4,29,26,357.0456,1.14E-05,3.88E-05,1.543672121,1,C,I,Transketolase OS=Chlorocebus sabaeus GN=TKT PE=4 SV=1,731146.5449,753802.2281,760914.4439,495293.2342,481232.1658,478358.1767,731146.5449,753802.2281,760914.4439,495293.2342,481232.1658,478358.1767
REVERSE6063,3,1,13.8164,1.15E-05,3.88E-05,8.304301613,1,I,C,Reversed Sequence 6063,2397.901905,2214.193925,1837.484544,17949.07304,17969.34663,17640.84103,2397.901905,2214.193925,1837.484544,17949.07304,17969.34663,17640.84103
A0A0D9S5K5,1,1,11.0174,1.17E-05,3.88E-05,2.101047436,1,C,I,Adhesion G protein-coupled receptor D1 OS=Chlorocebus sabaeus GN=ADGRD1 PE=3 SV=1,98083.17506,106210.6179,98273.46406,48821.14289,47898.0972,47288.57807,98083.17506,106210.6179,98273.46406,48821.14289,47898.0972,47288.57807
A0A0D9REE3,3,1,16.0634,1.18E-05,3.88E-05,9.502403358,1,C,I,Aldehyde dehydrogenase 9 family member A1 OS=Chlorocebus sabaeus GN=ALDH9A1 PE=3 SV=1,10099.69017,8482.703899,9125.59463,845.2063853,1024.253657,1046.43267,10099.69017,8482.703899,9125.59463,845.2063853,1024.253657,1046.43267
A0A0D9RB19,10,5,59.252,1.22E-05,3.88E-05,1.619929646,1,C,I,Cysteinyl-tRNA synthetase OS=Chlorocebus sabaeus GN=CARS PE=3 SV=1,86097.49911,87062.50683,85593.11095,52603.18853,52029.99934,55097.89525,86097.49911,87062.50683,85593.11095,52603.18853,52029.99934,55097.89525
A0A0D9RJV9,41,20,483.0342,1.22E-05,3.88E-05,1.38565661,1,C,I,Ezrin OS=Chlorocebus sabaeus GN=EZR PE=4 SV=1,560270.8474,564900.3734,583118.5237,412391.4753,410767.3629,409678.8886,560270.8474,564900.3734,583118.5237,412391.4753,410767.3629,409678.8886
A0A0D9RNW8,9,1,99.5624,1.24E-05,3.88E-05,17.91980497,1,I,C,Tubulin alpha chain OS=Chlorocebus sabaeus PE=3 SV=1,147.0747341,164.3783293,118.5552514,2728.711862,2675.836275,2301.117,147.0747341,164.3783293,118.5552514,2728.711862,2675.836275,2301.117
A0A0D9RG30,9,5,58.892,1.25E-05,3.88E-05,2.241245244,1,C,I,Procollagen-lysine_2-oxoglutarate 5-dioxygenase 2 OS=Chlorocebus sabaeus GN=PLOD2 PE=4 SV=1,78602.03088,77672.0132,82677.28504,36950.61288,34008.10897,35656.70982,78602.03088,77672.0132,82677.28504,36950.61288,34008.10897,35656.70982
A0A0D9RPJ8,2,1,16.1363,1.25E-05,3.88E-05,3.256374521,1,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,18271.47198,17058.57451,17772.86667,5743.285195,5019.658675,5544.428893,18271.47198,17058.57451,17772.86667,5743.285195,5019.658675,5544.428893
A0A0D9R755;A0A0D9RWC4,18,14,160.6476,1.25E-05,3.88E-05,1.970878761,1,C,I,Aldehyde dehydrogenase 1 family member A1 OS=Chlorocebus sabaeus GN=ALDH1A1 PE=3 SV=1,304072.0084,299506.3391,320617.2221,152204.1097,156116.1048,160605.4182,304072.0084,299506.3391,320617.2221,152204.1097,156116.1048,160605.4182
A0A0D9QV32,12,9,74.4362,1.3E-05,3.93E-05,1.24140056,1,I,C,Tetratricopeptide repeat_ ankyrin repeat and coiled-coil containing 2 OS=Chlorocebus sabaeus GN=TANC2 PE=4 SV=1,64680.68131,66297.70612,65928.20266,81740.2506,80886.30627,81813.39436,64680.68131,66297.70612,65928.20266,81740.2506,80886.30627,81813.39436
A0A0D9RPP6,4,2,17.2987,1.31E-05,3.93E-05,2.89638404,1,I,C,Macrophage stimulating 1 receptor OS=Chlorocebus sabaeus GN=MST1R PE=3 SV=1,7569.484991,8624.634432,8287.013867,24045.33035,22996.51823,23864.91516,7569.484991,8624.634432,8287.013867,24045.33035,22996.51823,23864.91516
REVERSE10084,2,1,8.5386,1.33E-05,3.93E-05,2.216431285,1,C,I,Reversed Sequence 10084,15503.98903,17118.43191,15799.47584,7336.546293,7291.580626,7218.657649,15503.98903,17118.43191,15799.47584,7336.546293,7291.580626,7218.657649
A0A0D9S182,3,3,16.9961,1.48E-05,4.31E-05,3.129432295,1,C,I,Chromosome 11 open reading frame 54 OS=Chlorocebus sabaeus GN=C11orf54 PE=4 SV=1,10701.18359,12118.16754,11220.06304,3479.227504,3582.87855,3815.078996,10701.18359,12118.16754,11220.06304,3479.227504,3582.87855,3815.078996
A0A0D9S218,2,2,8.6865,1.6E-05,4.6E-05,1.54472074,1,C,I,Dystrophia myotonica protein kinase OS=Chlorocebus sabaeus GN=DMPK PE=4 SV=1,16042.58558,16066.25845,15917.16666,10157.48238,10725.94121,10206.99258,16042.58558,16066.25845,15917.16666,10157.48238,10725.94121,10206.99258
A0A0D9SD49,2,1,19.2093,1.65E-05,4.62E-05,2.183322118,1,I,C,H1 histone family member 0 OS=Chlorocebus sabaeus GN=H1F0 PE=3 SV=1,3189.395574,3374.543694,3111.58762,6985.823987,6816.54178,7322.426086,3189.395574,3374.543694,3111.58762,6985.823987,6816.54178,7322.426086
A0A0D9R0N8,9,6,70.4466,1.69E-05,4.62E-05,1.375722599,1,C,I,ST13_ Hsp70 interacting protein OS=Chlorocebus sabaeus GN=ST13 PE=4 SV=1,98272.6871,97689.76102,97264.64611,69460.36442,72599.39267,71084.29864,98272.6871,97689.76102,97264.64611,69460.36442,72599.39267,71084.29864
A0A0D9RC15,9,5,60.4884,1.71E-05,4.62E-05,1.42561636,1,I,C,Lon protease homolog_ mitochondrial OS=Chlorocebus sabaeus GN=LONP1 PE=3 SV=1,78866.36314,79565.93461,80643.61149,116560.0693,111709.1345,112561.3237,78866.36314,79565.93461,80643.61149,116560.0693,111709.1345,112561.3237
A0A0D9R314,3,3,13.7088,1.72E-05,4.62E-05,1.198734573,1,I,C,RNA polymerase II subunit G OS=Chlorocebus sabaeus GN=POLR2G PE=4 SV=1,92744.52593,91447.70975,90723.95283,110159.1211,110367.8356,109024.5831,92744.52593,91447.70975,90723.95283,110159.1211,110367.8356,109024.5831
A0A0D9R5H6,6,2,31.6735,1.73E-05,4.62E-05,1.631821867,1,C,I,Acyl-CoA synthetase medium-chain family member 3 OS=Chlorocebus sabaeus GN=ACSM3 PE=4 SV=1,12712.61017,13170.26247,13292.23959,8096.68225,8144.460403,7765.835689,12712.61017,13170.26247,13292.23959,8096.68225,8144.460403,7765.835689
A0A0D9QXF7,2,2,13.2304,1.79E-05,4.72E-05,1.72921532,1,C,I,Proteasome subunit alpha type OS=Chlorocebus sabaeus PE=3 SV=1,8980.302764,8860.683062,8655.4458,4920.576744,5273.797066,5128.432618,8980.302764,8860.683062,8655.4458,4920.576744,5273.797066,5128.432618
REVERSE9102,2,2,9.7466,1.85E-05,4.83E-05,2.442981235,1,C,I,Reversed Sequence 9102,8615.500125,9646.003648,9396.918419,3842.358054,3658.004212,3821.223753,8615.500125,9646.003648,9396.918419,3842.358054,3658.004212,3821.223753
A0A0D9RGV8,3,2,14.2978,1.92E-05,4.87E-05,1.879865182,1,C,I,Transcription and mRNA export factor ENY2 OS=Chlorocebus sabaeus GN=ENY2 PE=3 SV=1,7097.88808,7040.796441,6929.312958,3848.174556,3812.850965,3546.159804,7097.88808,7040.796441,6929.312958,3848.174556,3812.850965,3546.159804
A0A0D9RMM2,6,5,35.8581,1.92E-05,4.87E-05,1.235814813,1,C,I,Septin 8 OS=Chlorocebus sabaeus GN=SEPT8 PE=3 SV=1,28676.62377,29268.18705,29389.64675,23331.26378,23677.63642,23660.63431,28676.62377,29268.18705,29389.64675,23331.26378,23677.63642,23660.63431
Q1AL72,2,1,9.8035,1.95E-05,4.88E-05,26.73269806,1,C,I,Cytochrome c oxidase subunit 2 OS=Chlorocebus sabaeus GN=COII PE=3 SV=1,2110.64632,1914.516588,2016.217244,57.2203488,91.76849289,77.0033174,2110.64632,1914.516588,2016.217244,57.2203488,91.76849289,77.0033174
A0A0D9RYH0,3,2,16.1991,2E-05,4.9E-05,1.952404415,1,C,I,Ubiquitin specific peptidase 14 OS=Chlorocebus sabaeus GN=USP14 PE=3 SV=1,17268.43788,18033.72568,16551.47167,8777.580165,9103.329479,8677.950207,17268.43788,18033.72568,16551.47167,8777.580165,9103.329479,8677.950207
A0A0D9RT16,4,3,20.9986,2.01E-05,4.9E-05,1.860902161,1,I,C,Proteasome 26S subunit_ non-ATPase 14 OS=Chlorocebus sabaeus GN=PSMD14 PE=4 SV=1,7820.698361,7704.281415,7402.467785,13667.15626,14313.78898,14684.79149,7820.698361,7704.281415,7402.467785,13667.15626,14313.78898,14684.79149
A0A0D9QZI9;A0A0D9SE37,8,6,57.6272,2.07E-05,4.9E-05,1.259977104,1,I,C,60S ribosomal protein L18a OS=Chlorocebus sabaeus PE=3 SV=1,41737.26916,41850.87581,41456.26434,51654.86835,53398.37845,52499.84591,41737.26916,41850.87581,41456.26434,51654.86835,53398.37845,52499.84591
A0A0D9RDR4;A0A0D9R235;A0A0D9RII8,33,3,448.2181,2.1E-05,4.9E-05,1.994335173,1,C,I,Glyceraldehyde-3-phosphate dehydrogenase OS=Chlorocebus sabaeus PE=3 SV=1,171959.7968,171265.6321,187309.8623,89829.45144,88238.694,87952.98197,171959.7968,171265.6321,187309.8623,89829.45144,88238.694,87952.98197
A0A0D9RUE2,6,1,30.4275,2.11E-05,4.9E-05,1.333157356,1,C,I,Kinesin-like protein OS=Chlorocebus sabaeus GN=KIF5C PE=3 SV=1,36277.70241,35972.30309,35917.66459,26444.90354,27122.10604,27569.45164,36277.70241,35972.30309,35917.66459,26444.90354,27122.10604,27569.45164
A0A0D9R0H6,15,12,125.4681,2.14E-05,4.9E-05,1.378761554,1,C,I,Aconitate hydratase_ mitochondrial OS=Chlorocebus sabaeus GN=ACO2 PE=3 SV=1,130607.9128,131908.6695,135094.5334,96779.9338,97319.64806,94283.21694,130607.9128,131908.6695,135094.5334,96779.9338,97319.64806,94283.21694
